Andhra Pradesh Police,,,
SN,item,count,ref_nos
1012,mangalagiri of guntur district- sub work: supply,1,Short tender Notice No. 76/2017-18.Date:21/11/2017
1013,providing air conditioning with vrf system to police head quarters at 6th bn,2,"Short Tender Notice No.82/2017-18.Date:07/12/2017, Short tender Notice No. 76/2017-18.Date:21/11/2017"
1014,at model police station building ( ground floor ) at nellore rural of spsr nellore district ( 3rd call ),1,Short Tender No: 88/2017-18/ Dt: 22-02-2018
1015,leveling of ground ( 2nd call ).,1,Short tender Notice No.48/2017-18.Date:11/10/2017
1016,visitors parking areas,1,Short tender Notice No.48/2017-18.Date:11/10/2017
1017,mangalagiri of guntur district- sub work: construction of retaining wall around the cid,1,Short tender Notice No.48/2017-18.Date:11/10/2017
1018,construction of police headquartesr at 6th,1,Short tender Notice No.48/2017-18.Date:11/10/2017
1019,supply of red earth to garden ( 2nd call ).,1,Short tender Notice No.52/2017-18.Date:11/10/2017
1020,mangalagiri of guntur district- sub work: providing kerb wall to road side,1,Short tender Notice No.52/2017-18.Date:11/10/2017
1021,construction of 600mm cc drainand rcc culvert from police station compound wall to vakkileru bridge at ward no. 13 in allagadda nagara panchayat under 14th fc grant 2016- 17,1,5-7/ALGNP/14th FC/2016-17
1022,its distribution line. ( 13th finance commission grant ),1,316/Mcr/13th Fianance/2016-17
1023,36th division via devi chowk,1,316/Mcr/13th Fianance/2016-17
1024,extension of pipe line from 3 town police station junction to bhavanarushi temple in 35th,1,316/Mcr/13th Fianance/2016-17
1025,arm of residential building civil works for the year 2024- 25 at 56th bn itb police visakhapatnam sh- acrylic exterior wall paint,2,"No. ITBP/56Bn/Engr/Tender/511-17 Dt-26/07/24, No. ITBP/56Bn/TENDER/2024-531-37 Dt-30/07/24"
1026,interior wall acrylic emulsion paint,2,"No. ITBP/56Bn/Engr/Tender/511-17 Dt-26/07/24, No. ITBP/56Bn/TENDER/2024-531-37 Dt-30/07/24"
1027,activated carbon ( coal based ) at 53 rd bn itb police force kalikiri chittoor ( ap ),1,RMO of 03 Nos STP for the year 2022-23
1028,rmo of 03 nos stp for the year 2022- 23 ( replacement of sand media,1,RMO of 03 Nos STP for the year 2022-23
1029,fresh electrical wiring with electrical accessories of newly constructed kitchen,1,PO(AK)/PE(EnM)/e-NIT/22-23/80
1030,check post of police picket building at old parking of quarry- 2 under ashok ocp.,1,PO(AK)/PE(EnM)/e-NIT/22-23/80
1031,providing of permanent power supply,2,"PO(AK)/PE(EnM)/e-NIT/21-22/126, PO(AK)/PE(EnM)/e-NIT/22-23/80"
1032,replacement of bushing studs of a transformer rated 500kva,1,PE(EnM)/Pnd/NIT/2020-21/108
1033,3. 3kv/ 440v sl. no. pnd/ township/ 05 at police picket of ab colony,1,PE(EnM)/Pnd/NIT/2020-21/108
1034,other civil works 6th call,1,05/2020-21/CDT
1035,construction of 40 m nblw gb tower related infrastructure works for ap police communications department at melavaikonda in anantapur sh tower foundation erection,1,05/2020-21/CDT
1036,creating toilets in doctor  s room,1,03/EE/TSMSIDC/Sdpt-Dvn/2018-19 Dt:30-08-2018
1037,creating police outpost with toilet,1,03/EE/TSMSIDC/Sdpt-Dvn/2018-19 Dt:30-08-2018
1038,connecting drainage line backside of building in additional wards in area hospital siddipet in siddipet district,1,03/EE/TSMSIDC/Sdpt-Dvn/2018-19 Dt:30-08-2018
1039,nurses room,1,03/EE/TSMSIDC/Sdpt-Dvn/2018-19 Dt:30-08-2018
1040,a_r,1,116/EE/PWD Divn. M-411/14-15
1041,m_o to various roads under pwd sub division m_4113 during 2014_15 sh_ repair of barriers  provision of grills at police colony side of sub way repairing of carriage way of subway,1,116/EE/PWD Divn. M-411/14-15
1042,laying cc road from k. jaya sri house to police venkataiah house (8-127 to 7-113) pandurangapuram in devision no2 in khammam municipal corporation (sc location area ),1,"DB/KMC/816/BPS/LRS/Notice-II/S No.28  /2014/ 27  , Dt. 29 -01-2014"
1043,providing of cc dividers from ii town police station to irrigation office ep no. d3/ 1/ 26 at dsp bunglow main road railway gate ( dead end ) ( reach iii ),1,13/ADN/Mplty/2017-18 Dt. 20.05.2017
1044,ongole of prakasam district ( 2nd call ),1,Short Tender No: 71/2017-18/ Dt: 16-02-2018
1045,at model police station building ( ground floor ) at kp bus stand,1,Short Tender No: 71/2017-18/ Dt: 16-02-2018
1046,proddatur municipality- 13th finance commission grants 2012- 13- construction of cc drains on both sides from sai bab temple to i town police station along rameswaram road,1,"186/2016-17-E1, dt.19.09.2016"
1047,300mm dia ac gravity main pipe line from mindi to malkapuram police station in ae- 21 section ( water supply ) gvmc for the year 2018- 19.,1,13/2017-18/EE-II(WS-M)/DB/Dt:06-03-2018 (Item No.4)
1048,maintenance of 600mm,3,"13/2017-18/EE-II(WS-M)/DB/Dt:06-03-2018 (Item No.4), T.No.19/2016-17/EE-II(WS-M)/DB(Item-04), Sh.TN.No.06/2016-17/EE-II(WS-M)/DB(Item-04)"
1049,400mm,2,"13/2017-18/EE-II(WS-M)/DB/Dt:06-03-2018 (Item No.4), Sh.TN.No.06/2016-17/EE-II(WS-M)/DB(Item-04)"
1050,others at hader madian wayil halqa wayil block ganderbal scheme capex ddc grants 48,1,E NIT No.43
1051,const of link road from police chooky to h/ o ab gani khan,2,"e nit 38, E NIT No.43"
1052,erection of 100 feet flag mast for hoisting 20 feet x 30 feet indian national flag in the lawn in front of ap police head quarters at mangalagiri of guntur district,1,Tender Notice No. 48/2018-19
1053,at model police station building ( ground floor ) at nellore ivth town of spsr nellore district ( 3rd call ),1,Short Tender No: 87/2017-18/ Dt: 22-02-2018
1054,at model police station building ( first floor ) at kp bus stand ongole of prakasam district ( 2nd call ),1,Short Tender No: 72/2017-18/ Dt: 16-02-2018
1055,special repairs to a ) road from km 0/ 0 to 3/ 2 of radhanagar- yerraballi road b ) road from km 0/ 0 to 1/ 0 of mnbb road to meet pg road ( via ) ii town police station in ysr district,1,60/TO/2017-2018
1056,sub work:- widening of slab culvert at km 0/ 0- 2 of mnbb road to meet pg road ( via ) ii town police station in ysr district,1,60/TO/2017-2018
1057,others at hader madian wayil halqa wayil wudder block ganderbal scheme capex ddc grants 48,1,e nit 38
1058,fresh electrical wiring with electrical accessories to upcoming police picket building at old parking by relocation of over head line from work shop side of piparwar under ashok ocp,1,PO(AK)/PE(EnM)/e-NIT/21-22/126
1059,supply of 06 nos poli eye lighting box ( flasher for police vehicles ) with base plate ( with magnet shoes mounting base plate ). this item is available in gem product id- 5116877- 98575411913.,1,WCR/94215002200530
1060,construction of lane from shop of m.l sodhi stamp vendor upto police station high court at ambedkar nagar janipur in w.no 34 incl. cost of deptt. material ccdp 2017 18,1,312c5 of 2017-18
1061,macherla,1,SRCC/LT/24/TAPSO/2017-18
1062,naidupet 3. raja petroleum,1,SRCC/LT/24/TAPSO/2017-18
1063,inkollu 4. sagar fuels,1,SRCC/LT/24/TAPSO/2017-18
1064,sattenapalli 2. pmk filling station,1,SRCC/LT/24/TAPSO/2017-18
1065,vijayawada do,1,SRCC/LT/24/TAPSO/2017-18
1066,provision of canopies at 1. guntur rural police fuel station,1,SRCC/LT/24/TAPSO/2017-18
1067,proddatur municipality- construction of cc drain,1,"92/2017-18-E1, dt.19.08.2017"
1068,from d no 21/ 58 to 21/ 64 in 25th election ward,1,"92/2017-18-E1, dt.19.08.2017"
1069,providing of cc road from d no 21/ 355 to opposite i- town police station,1,"92/2017-18-E1, dt.19.08.2017"
1070,approaches to police training centre at km 0/ 0 to 0/ 450 of cg road to mcb road ( via ) pullaiahgaripalli in chittoor district ( in view of republic day celebrations ) ( by hmp ),1,Nit No. 174/2017-18 dated 17.01.2018
1071,providing gate,1,Nit No. 174/2017-18 dated 17.01.2018
1072,and figurative work at police parade grounds water plant in ongole municipal corporation,1,"1060/2017-18, Dt.14.03.2018"
1073,providing oil base primer cum enamel to kurnool road flyover bottom slab,1,"1060/2017-18, Dt.14.03.2018"
1074,slant portion etc.,1,"1060/2017-18, Dt.14.03.2018"
1075,mangalagiri of guntur district- sub work: supply of vrf ac system to lan cable room ( 2nd call ),1,Short Tender Notice No.82/2017-18.Date:07/12/2017
1076,planter walls at vvip parking,1,Short tender Notice No.49/2017-18.Date:11/10/2017
1077,mangalagiri of guntur district- sub work:- construction of retaining walls for parking area,1,Short tender Notice No.49/2017-18.Date:11/10/2017
1078,near canteen ( 2nd call ).,1,Short tender Notice No.49/2017-18.Date:11/10/2017
1079,bm & sdbc layers to the 60 - 0 & 40 - 0 roads ( approach roads ) to the visakhapatnam greyhounds at kapulapada layout,1,"42/2017-18/CE/EE-II/VUDA, dt:01.11.2017"
1080,madhurawada,1,"42/2017-18/CE/EE-II/VUDA, dt:01.11.2017"
1081,greyhounds campus to police firing range jn.,1,"42/2017-18/CE/EE-II/VUDA, dt:01.11.2017"
1082,providing wmm,1,"42/2017-18/CE/EE-II/VUDA, dt:01.11.2017"
1083,at model police station building ( first floor ) at nellore iv th town of spsr nellore district ( 3rd call ),1,Short Tender No: 86/2017-18/ Dt: 22-02-2018
1084,technical bid for construction of 40 m nblw gb tower related infrastructure works for ap police department at melavaikonda in anantapur dist sh tower foundation,1,NIT No. 04/2020-21/CDT
1085,and other civil works 7th call.,1,NIT No. 04/2020-21/CDT
1086,providing temporary toilets for central reserve police for accommodation on occasion of independence day celebrations at various locations nearby bapist palem community hall in 48th division. ( rc. e11- 126737/ 2019 ),1,Rc.E11-126737/2019
1087,providing temporary toilets for central reserve police for accommodation on occasion of independence day celebrations at various locations nearby madhura nagar community hall in 45th division. ( rc. e11- 126733/ 2019 ),1,Rc.E11-126733/2019
1088,provision of sewage line to sentry post,1,81683
1089,police station provision of paved area near kindergarten,1,81683
1090,special repairs to roof treatment of building no p01 officers institute at dolphin hill under ge nb visakhapatnam,1,81683
1091,improvement of footpath,1,51/PWD M-312/2012-13
1092,delhi.,1,51/PWD M-312/2012-13
1093,fixing retro-reflective signages of sanjay gandhi hospital road,1,51/PWD M-312/2012-13
1094,up gradation of street lighting of road in mangolpuri,1,51/PWD M-312/2012-13
1095,strengthening of roads,1,51/PWD M-312/2012-13
1096,police station road including horticulture work,1,51/PWD M-312/2012-13
1097,signages in ward nos- 25,1,TN.No.47/2017-18/SE(W2)/EE-III/DB dt.25-11-2017(Item-02)
1098,dolphin hotel jn. to vizag central.,1,TN.No.47/2017-18/SE(W2)/EE-III/DB dt.25-11-2017(Item-02)
1099,providing road marking paint,1,TN.No.47/2017-18/SE(W2)/EE-III/DB dt.25-11-2017(Item-02)
1100,27 under improvements to the road from old post office jn. to police barracks jn.,1,TN.No.47/2017-18/SE(W2)/EE-III/DB dt.25-11-2017(Item-02)
1101,26,1,TN.No.47/2017-18/SE(W2)/EE-III/DB dt.25-11-2017(Item-02)
1102,studs,1,TN.No.47/2017-18/SE(W2)/EE-III/DB dt.25-11-2017(Item-02)
1103,yerraguntla nagar panchayat- sc sub plan 2018- 19- construction of 600 mm cc drain from police station to gowtham school to imambee darga street in ward 12 of yerraguntla nagar panchayat.,1,119/SCSP/2018-19-E1
1104,providing cc road from d. no. 28/ 5f ( chainge 0. 0 mts to 120. 0 mts police quarters ) at noone palli harijanawada in ward no. 21 under sc sp grant- 2016- 17,1,MC/NDL/BPS No.101/2017-18
1105,punganur municipality- sds 2018- 19 laying of c. c. road from d. no: 27- 179/ 2- 1 to d. no: 27- 136/ 1- 1 at police line dead end in ward no: 4,1,145/2018-19/E1
1106,formation of connecting gravel road from anand nagar ( traffic police station back side ) to carshed junction.,1,"24/2018-19/EE-I/DB, DT:24.07.2018 (ITEM.NO.1)"
1107,from e. p. no. 480/ b/ 3 to 83/ b/ 1 in ward. no. 04 of zone- i,1,"24/2018-19/EE-I/DB, DT:24.07.2018 (ITEM.NO.1)"
1108,urgent repairs to km 0/ 0 to 0/ 450 ( from nh- 4 to police training centre ) of cg road to mcb road ( via ) pullaiahgaripalli in chittoor district ( in view of republic day celebrations ) ( by hmp ),1,Nit No. 173/2017-18 dated 17.01.2018
1109,crache ( 2nd call ),1,Tender Notice No. 53/2018-19
1110,mangalagiri of guntur district- sub work. providing power supply to canteen,1,Tender Notice No. 53/2018-19
1111,providing internal electrical arrangements to ap police head quarters at 6th bn,1,Tender Notice No. 53/2018-19
1112,water plant,1,Tender Notice No. 53/2018-19
1113,restoration of water supply trenches with cold mix process to chirsturajupuram main road from l. i. c colony 1st cross road to police station in 3rd division general funds ( 1st call ),1,Rc.No.EE3-123475/2017
1114,providing cc road from d. no. 28/ 5f ( chainge 121. 0 mts to 240. 0 mts police quarters ) at noone palli harijanawada in ward no. 21 under sc sp grant- 2016- 17,1,MC/NDL/BPS No.102/2017-18
1115,hiring of 01 number tata sumo non ac,1,54 / 2021-22 /IMEE/M-II/ Harbour Police Station
1116,higher version vehicle of 2019 year,1,54 / 2021-22 /IMEE/M-II/ Harbour Police Station
1117,equivalent,1,54 / 2021-22 /IMEE/M-II/ Harbour Police Station
1118,later without driver for 24 hrs duty for the use of harbour police station for a period of fifteen months,1,54 / 2021-22 /IMEE/M-II/ Harbour Police Station
1119,providing temporary toilets for central reserve police for accommodation on occasion of independence day celebrations at various places nearby kalyanamandapam at d block vambay colony in 56th division. ( rc. e11- 126730/ 2019 ),1,Rc.E11-126730/2019
1120,est. cost. rs. 4. 38 lakhs.,1,"e-Procurement NIT No.1179/05/E/TO/17-18,Dt.03-06-2017, S.No.53"
1121,providing pre- cast pre- stressed concreat compound wall to vacant site at police barracks ( survey. no. 648 ) ( w. no. 31 ) under 14th finance 2015- 16,1,"e-Procurement NIT No.1179/05/E/TO/17-18,Dt.03-06-2017, S.No.53"
1122,300mm dia ac gravity main pipeline from mindi to malkapuram police station in ae- 21 section ( water supply ) g. v. m. c for the year 2017- 18.,1,T.No.19/2016-17/EE-II(WS-M)/DB(Item-04)
1123,400mm dia,1,T.No.19/2016-17/EE-II(WS-M)/DB(Item-04)
1124,krishnaveni ghat,1,E-Procurement Notice No.53/VMC-Engg/CDB/AE/2018-19/Rc.F1-144283/2018
1125,dhobi ghat,1,E-Procurement Notice No.53/VMC-Engg/CDB/AE/2018-19/Rc.F1-144283/2018
1126,seethammavaripadalu ghat ( general funds ),1,E-Procurement Notice No.53/VMC-Engg/CDB/AE/2018-19/Rc.F1-144283/2018
1127,police station to pnbs outgate,1,E-Procurement Notice No.53/VMC-Engg/CDB/AE/2018-19/Rc.F1-144283/2018
1128,supply of sanitation workers to work in dasara festival in october- 2018 at padmavathi ghat,1,E-Procurement Notice No.53/VMC-Engg/CDB/AE/2018-19/Rc.F1-144283/2018
1129,pnbs outgate to low bridge,1,E-Procurement Notice No.53/VMC-Engg/CDB/AE/2018-19/Rc.F1-144283/2018
1130,punganur municipality- general funds- laying of c. c. road from d. no27- 11- 1 to d. no: 27- 47/ 11- 1- 6- 1 opp police station at nanabala street in ward no: 21,1,108/2017-18/E1
1131,grouting the holes,1,"Tender Notice No.17/2018-19/Dy.E.E., Dt.27.09.2018-15 (1st Call)"
1132,1. 50hp motor,1,"Tender Notice No.17/2018-19/Dy.E.E., Dt.27.09.2018-15 (1st Call)"
1133,providing drilling of holes,1,"Tender Notice No.17/2018-19/Dy.E.E., Dt.27.09.2018-15 (1st Call)"
1134,cono carpes trees etc.,1,"Tender Notice No.17/2018-19/Dy.E.E., Dt.27.09.2018-15 (1st Call)"
1135,cutting of bt road,1,"Tender Notice No.17/2018-19/Dy.E.E., Dt.27.09.2018-15 (1st Call)"
1136,for center divider work from police station road junction to flyover bridge ( palakonda road ),1,"Tender Notice No.17/2018-19/Dy.E.E., Dt.27.09.2018-15 (1st Call)"
1137,tables & chairs etc at ground floor,1,Short tender Notice No.121/2017-18. Date:14/02/2018
1138,work stations,2,"Short tender Notice No.121/2017-18. Date:14/02/2018, Short tender Notice No.122/2017-18. Date:14/02/2018"
1139,storage units,2,"Short tender Notice No.121/2017-18. Date:14/02/2018, Short tender Notice No.122/2017-18. Date:14/02/2018"
1140,construction of model police station building at chebrolu of guntur district- sub work: supply & fixing of internal works like modular partitions,1,Short tender Notice No.121/2017-18. Date:14/02/2018
1141,addanki nagara panchayat- providing 160 mm dia hdpe pipe line from rama nagar bus stop to excise police station via nagulapadu road in 5th ward under 14th fc 15- 16,1,45/NIT/2016-17
1142,300mm dia ac gravity main pipe line from mindi to malkapuram police station in ae- 21 section ( water supply ) of 45 to 49 wards of gvmc for a period of 8 months.,1,Sh.TN.No.06/2016-17/EE-II(WS-M)/DB(Item-04)
1143,line work only: providing 10 nos mini mast pole with 110w led fittings at 1 ) venkatagiri hanuman temple 2 ) venkatagiri big mosque 3 ) venkatagiri hylam colony 4 ) v. giri sravanthi nagar 5 ) police line hill top 6 ) police line entrance 7 ) ln nagar temple 8 ) ln nagar basthi 9 ) maruthi nagar 10 pragathi nagar colony in yousufguda division of yousufguda package,1,"Short NIT No.45/EE (Elect)/AE (T)/CZ/GHMC/2017-18, Item No.14, dt:23-11-2017"
1144,fixing,1,GM(MS)/SO(EnM)/e-NIT/24-25/03
1145,connection of service wire with wiring of newly constructed rooms,1,GM(MS)/SO(EnM)/e-NIT/24-25/03
1146,wiring of cabin rooms of balumath siding used for sample collection cum- storage room with supply,1,GM(MS)/SO(EnM)/e-NIT/24-25/03
1147,kitchen shed at amarwadih police picket,1,GM(MS)/SO(EnM)/e-NIT/24-25/03
1148,provision,1,GM(MS)/SO(EnM)/e-NIT/24-25/03
1149,police picket sub- stations under purnadih ocp,1,GM (NK)/EnM/e-NIT/2023-24/ 295
1150,11 nos. for various electrical installations at quarry no. 01 sub- station,1,GM (NK)/EnM/e-NIT/2023-24/ 295
1151,making of 15 nos. of earth pits,1,GM (NK)/EnM/e-NIT/2023-24/ 295
1152,04 nos. for transformers installed at dhamdhamiya,1,GM (NK)/EnM/e-NIT/2023-24/ 295
1153,nk area,1,GM (NK)/EnM/e-NIT/2023-24/ 295
1154,02 nos,1,WR/83205816200747
1155,poli eye lighting box ( flashier for police vehicles ) for four wheeler. with base plate ( with magnet shoes mounting base plate overall length ( in mm )- 560over all width ( in mm )- 220 ( +/- 2mm ) height,1,WR/83205816200747
1156,providing security arrangements of construction of scanner cum baggage checking room,1,NIT No.05/EE/APBD/DB/2019-20/e-proc. Dt:27-07-2019
1157,at lotus pond,1,NIT No.05/EE/APBD/DB/2019-20/e-proc. Dt:27-07-2019
1158,police officers room at the residence of hon. ble chief minister of a. p.,1,NIT No.05/EE/APBD/DB/2019-20/e-proc. Dt:27-07-2019
1159,cctv room static room,1,NIT No.05/EE/APBD/DB/2019-20/e-proc. Dt:27-07-2019
1160,construction work of proposed building plan for water supply room near dandwate nagar balaji nagar  police line  doodh dairy colony milind nagar water reservoir in shirpur city for shirpur warvade shirpur,1,PWD_28_10_03_2017
1161,construction of model police station building at chebrolu of guntur district- sub work: supply & fixing of office internal works like modular partitions,1,Short tender Notice No.122/2017-18. Date:14/02/2018
1162,chairs etc.,1,Short tender Notice No.122/2017-18. Date:14/02/2018
1163,at first floor,1,Short tender Notice No.122/2017-18. Date:14/02/2018
1164,tables,1,Short tender Notice No.122/2017-18. Date:14/02/2018
1165,providing b. t. road by hot mix process from ep. no. vsnl/ 3/ 16/ 3/ 1 to 43/ a/ 9,1,36/2017-18/SE(W)/EE-I(Works)/DB/Dt.27-12-2017/Item-23
1166,45/ b/ 7,1,36/2017-18/SE(W)/EE-I(Works)/DB/Dt.27-12-2017/Item-23
1167,45/ a/ 5 at visalakshni nagar police quarter road in ward no. 6.,1,36/2017-18/SE(W)/EE-I(Works)/DB/Dt.27-12-2017/Item-23
1168,repairing of two numbers barrack with kitchen damaged electrical wiring with extension of various point with changing of service wire of jbvnl from cement pole to camp,1,GM(M-S)/SO(EnM)/e-NIT/23-24/68
1169,diesel generator also off load changer of saradhu police picket under magadh,1,GM(M-S)/SO(EnM)/e-NIT/23-24/68
1170,l.i office to rugudisahi,1,EE (R and B)-Angul-22/2016-17
1171,improvement to atthamallik town road from gangaram chhak to bangala sahi,1,EE (R and B)-Angul-22/2016-17
1172,gangaram chhak to police bandha,1,EE (R and B)-Angul-22/2016-17
1173,gudia chhak to mali sahi,1,EE (R and B)-Angul-22/2016-17
1174,bus stand to khadal sahi road.,1,EE (R and B)-Angul-22/2016-17
1175,maheswari chhak to rugudi sahi,1,EE (R and B)-Angul-22/2016-17
1176,from kali temple to post office under hooghly sub division of hooghly division p.w.d  during the year 2012-13._ch. head 13th finance commission,1,WBPWD/EE/HD/NIT_36/2012_2013_2nd call
1177,maintenance of cantonment road from police line  via district court to cmoh office,1,WBPWD/EE/HD/NIT_36/2012_2013_2nd call
1178,punganur municipality- municipal general funds- laying of 110 mm dia pvc pipe line from d. no: 27- 47/ 15 to towards rtc bus stand at nanabala munemma street opp police station in ward no: 21,1,195/2018-19/E1
1179,d. no. 22- 701/ b to end,1,128/2017-18/E1
1180,general funds 2016- 17: construction of cc drain & cc road from d. no. 22- 697 to end,1,128/2017-18/E1
1181,police colony in division no. 5,1,128/2017-18/E1
1182,d. no. 22- 702 to end at rajaji nagar,1,128/2017-18/E1
1183,s. no.- of 109 works removal of silt of to pattabhipuram police station road fathima puram road,1,E.T.NO.5/2018-19 ITEM NO.9
1184,cobaldpeta main road,1,E.T.NO.5/2018-19 ITEM NO.9
1185,brodipet 19th cross road in div. no 38 under ae- 1 section,1,E.T.NO.5/2018-19 ITEM NO.9
1186,mansoon action plan 2018,1,E.T.NO.5/2018-19 ITEM NO.9
1187,and police quarters- 1 in kandukur municipality,1,207/2016-17/E1
1188,kandukur municipality- municipal general funds- construction of rain water harvesting structures in panchayat raj office- 1,1,207/2016-17/E1
1189,rdo office- 2,1,207/2016-17/E1
1190,rdo bunglow- 1,1,207/2016-17/E1
1191,venkatadripalem park- 1,1,207/2016-17/E1
1192,leveling of site with gravel/ selected earth for sub divisional police office cum residence in reserve open space of lp no 7/ 96,1,254/Gdv/Gen/2017-18
1193,293/ 85 & 503/ 83 in rs190 of valivarthipadu ( v ) in ward no: 2 in gudivada municipality,1,254/Gdv/Gen/2017-18
1194,gajuwaka in ward no. 61 of gvmc,1,"05/2017-18/EE-III(WS-M)/DB-III, dated 15.07.2017"
1195,replacement of damaged ci bend opposite to police station near mro office,1,"05/2017-18/EE-III(WS-M)/DB-III, dated 15.07.2017"
1196,raising of 350mm dia di pumping main to drivers colony & dasimikonda with ms pipe on drain crossing,1,"05/2017-18/EE-III(WS-M)/DB-III, dated 15.07.2017"
1197,paramedical officer rooms at police barracks at cm residence in guntur.,1,NIT. No.130/SE/R&B/Elec/VJA/2016-2017 Dt:05.07.2016
1198,construction of electrical control room at hon  ble chief minister camp residence at undavalli in guntur district. sub work: providing air conditioners to the security officers,1,NIT. No.130/SE/R&B/Elec/VJA/2016-2017 Dt:05.07.2016
1199,punganur municipality- sds- 2018- 19- laying of c. c. road from d. no: 28- 102/ 13- 5- 9 to d. no: 28- 102/ 16- 13 near raganipalle road at police krishnaiah street in ward no: 24,1,190/2018-19/E1
1200,filling of potholes,2,"GM(PPR)/Civil/E-tender/2025-26 /100, GM(PPR)/Civil/E-tender/2025-26 /90"
1201,piparwar,2,"GM(PPR)/Civil/E-tender/2025-26 /100, GM(PPR)/Civil/E-tender/2025-26 /90"
1202,metal from police picket to weigh bridge no. 15 under ashok ocp,2,"GM(PPR)/Civil/E-tender/2025-26 /100, GM(PPR)/Civil/E-tender/2025-26 /90"
1203,ditches of roads with stone dust,2,"GM(PPR)/Civil/E-tender/2025-26 /100, GM(PPR)/Civil/E-tender/2025-26 /90"
1204,fixing rcc hume pipes across haul road at locations where cross drainage is required,2,"GM(PPR)/Civil/E-tender/2025-26 /100, GM(PPR)/Civil/E-tender/2025-26 /90"
1205,garland drai,2,"GM(PPR)/Civil/E-tender/2025-26 /100, GM(PPR)/Civil/E-tender/2025-26 /90"
1206,proposed construction of 1 nos of modern stainless steel bus shelter ( 6m x 2. 5m ) at prakasam salai ( near n 3 police station ) in div 56,1,B.R.R.C.No.B4/1063/2024
1207,unit 13,1,B.R.R.C.No.B4/1063/2024
1208,zone 05. ( ward councilor scheme ),1,B.R.R.C.No.B4/1063/2024
1209,providing temporary toilets for accommodation centers on occasion of independence day celebrations for central reserve police at various places nearby gujjala sarala devi kalyanamandapam in ajith singh nagar in 54th division. ( rc. e11- 126728/ 2019 ),1,Rc.E11-126728/2019
1210,1 rmo em services at police colony shalimar bagh delhi. 2 rmo em services at bjrm hospital jahangirpuri delhi. 3 rmo em services at children home alipur delhi. sh repairing  sitc of pumpsets,1,327  of 2015-16/PWD EMD M-352
1211,dismounting,1,PO(AK)/PE(EnM)/e-NIT/22-23/154
1212,their transporting road upto police picket of piparwar patch under ash,1,PO(AK)/PE(EnM)/e-NIT/22-23/154
1213,led flood/ street light fittings installed at rajdhar railway siding,1,PO(AK)/PE(EnM)/e-NIT/22-23/154
1214,maintenance/ refurbishment etc. of old 300w/ 200w/ 120w,1,PO(AK)/PE(EnM)/e-NIT/22-23/154
1215,re- fixing after necessary cleaning,1,PO(AK)/PE(EnM)/e-NIT/22-23/154
1216,attending urgent leakage by replacing by 200mm dia ms pipe line in place of damaged 200mm dia ac pipeline at sankar matam main road,1,Sh.TN.No.08/2016-17/SE(WS-M)/EE-I(WS-M)/DB/Dt:30.07.2016(ItemNo.05)
1217,opp. 4th town police station in ward no. 12 under ae- 17 section.,1,Sh.TN.No.08/2016-17/SE(WS-M)/EE-I(WS-M)/DB/Dt:30.07.2016(ItemNo.05)
1218,reconstruction of big drain,1,"212/TPT/18-19/GEN/TO, DT. 17-08-2018"
1219,dismantling of low level slab culverts,1,"212/TPT/18-19/GEN/TO, DT. 17-08-2018"
1220,2- 61 to 2- 41/ 2 in m. r palli in ward no. 19.,1,"212/TPT/18-19/GEN/TO, DT. 17-08-2018"
1221,culverts at d. no. 23- 1- 20 in duraga nagar back side of police quarter,1,"212/TPT/18-19/GEN/TO, DT. 17-08-2018"
1222,equivalent vehicle on 24 hours basis for a period of 03 months to be deployed at newly established rajdhar police picket for maintaining,3,"SO(EnM)/PPR/e-NIT/21-22/88, SO(EnM)/PPR/e-NIT/21-22/98, SO(EnM)/PPR/e-NIT/21-22/118"
1223,above ),3,"SO(EnM)/PPR/e-NIT/21-22/88, SO(EnM)/PPR/e-NIT/21-22/98, SO(EnM)/PPR/e-NIT/21-22/118"
1224,type bolero/ scorpio,3,"SO(EnM)/PPR/e-NIT/21-22/88, SO(EnM)/PPR/e-NIT/21-22/98, SO(EnM)/PPR/e-NIT/21-22/118"
1225,hiring of 01 ( one ) no. hard top covered ( 07 seater capacity,3,"SO(EnM)/PPR/e-NIT/21-22/88, SO(EnM)/PPR/e-NIT/21-22/98, SO(EnM)/PPR/e-NIT/21-22/118"
1226,diesel version,3,"SO(EnM)/PPR/e-NIT/21-22/88, SO(EnM)/PPR/e-NIT/21-22/98, SO(EnM)/PPR/e-NIT/21-22/118"
1227,providing of cc road from h. no. 4- 2- 11 primary health centre ( govt hospital ) to h. no. 4- 2- 61 police quarters ( houses ) at 11th ward in allagadda nagar panchayat under 14 th fc 17- 18 ( bg ),1,15/ALG NP/ 14th FC Grant 2017-18/BG-18
1228,special repairs to ( a ) road from km 0/ 0 to 3/ 2 of radhanagar- yerraballi road ( b ) road from km 0/ 0 to 1/ 0 of mnbb raod to meet pg road ( via ) ii town police station in ysr district.,1,NIT No : 30/KDP/SRP/ENC(R)/EE(TEC)/DEEVII/AEE1/2016-17  Dt.  09-11-2016
1229,lightening protection to the lingamaneni guest house proposed for the residence of hon  ble chief minister of ap at undavalli village,1,NIT NO.111/SE/R&B/Elec/VJA/2016-2017                  Dated: 21.06.2016
1230,providing 11kv ht,1,NIT NO.111/SE/R&B/Elec/VJA/2016-2017                  Dated: 21.06.2016
